Escola_completo;Distrito;Concelho;Tipo de escola;Média Texto;Média Grupo;Latitude;Longitude
1. Grande Colégio Universal;Porto;Porto;Privada;Média: 16.43;Mais de 12;41.1560996;-8.6177581
2. Colégio Nossa Senhora do Rosário;Porto;Porto;Privada;Média: 16.31;Mais de 12;41.1632459;-8.6598652
3. Colégio Efanor;Porto;Matosinhos;Privada;Média: 16.28;Mais de 12;41.1852210;-8.6551934
4. Colégio D. Diogo de Sousa;Braga;Braga;Privada;Média: 15.89;Mais de 12;41.5574396;-8.4188135
5. Salesianos de Lisboa - Colégio Oficinas de São José;Lisboa;Lisboa;Privada;Média: 15.37;Mais de 12;38.7137612;-9.1714121
6. Colégio de S. Tomás;Lisboa;Lisboa;Privada;Média: 15.22;Mais de 12;38.7674650;-9.1531880
7. Colégio de Stª Doroteia;Lisboa;Lisboa;Privada;Média: 15.21;Mais de 12;38.7602989;-9.1568110
8. Colégio Nova Encosta;Porto;Paços de Ferreira;Privada;Média: 15;Mais de 12;41.2790158;-8.3622500
9. Colégio Campo de Flores;Setúbal;Almada;Privada;Média: 14.94;Mais de 12;38.6470928;-9.2041351
10. Colégio Moderno;Lisboa;Lisboa;Privada;Média: 14.9;Mais de 12;38.7527285;-9.1559845
11. Colégio Novo da Maia;Porto;Maia;Privada;Média: 14.81;Mais de 12;41.2284556;-8.5794858
12. Colégio de São João de Brito;Lisboa;Lisboa;Privada;Média: 14.81;Mais de 12;38.7651582;-9.1580980
13. St. Peter`s International School;Setúbal;Palmela ;Privada;Média: 14.7;Mais de 12;38.5796749;-8.8897862
14. Colégio do Sagrado Coração de Maria;Lisboa;Lisboa;Privada;Média: 14.69;Mais de 12;38.7351976;-9.1391489
15. Colégio Luso-Francês;Porto;Porto;Privada;Média: 14.69;Mais de 12;41.1768010;-8.6165598
16. Salesianos do Estoril - Escola;Lisboa;Cascais;Privada;Média: 14.65;Mais de 12;38.7042805;-9.4029572
17. Colégio Valsassina;Lisboa;Lisboa;Privada;Média: 14.65;Mais de 12;38.7557084;-9.1286711
18. Colégio de Nossa Senhora da Assunção;Aveiro;Anadia;Privada;Média: 14.53;Mais de 12;40.4518473;-8.4518206
19. Colégio da Rainha Stª Isabel;Coimbra;Coimbra;Privada;Média: 14.51;Mais de 12;40.2001534;-8.4242421
20. Colégio de Nossa Senhora da Paz;Porto;Porto;Privada;Média: 14.45;Mais de 12;41.1599244;-8.6061062
21. Externato Ribadouro;Porto;Porto;Privada;Média: 14.43;Mais de 12;41.1581410;-8.6064819
22. Colégio das Terras de Santa Maria;Aveiro;Santa Maria da Feira;Privada;Média: 14.36;Mais de 12;40.9334784;-8.5749057
23. Colégio Pedro Arrupe;Lisboa;Lisboa;Privada;Média: 14.36;Mais de 12;38.7931743;-9.1001598
24. Colégio Paulo VI de Gondomar;Porto;Gondomar;Privada;Média: 14.34;Mais de 12;41.1470799;-8.5353697
25. Colégio João Paulo II;Braga;Braga;Privada;Média: 14.27;Mais de 12;41.5672887;-8.4392977
26. Colégio Vasco da Gama;Lisboa;Sintra;Privada;Média: 14.09;Mais de 12;38.7935420;-9.3184909
27. Colégio Manuel Bernardes;Lisboa;Lisboa;Privada;Média: 13.95;Mais de 12;38.7731873;-9.1759011
28. Colégio Integrado de Monte Maior;Lisboa;Loures;Privada;Média: 13.93;Mais de 12;38.8231355;-9.2101670
29. Colégio Nossa Senhora da Bonança;Porto;Vila Nova de Gaia;Privada;Média: 13.88;Mais de 12;41.1308031;-8.6261734
30. Colégio de S. Teotónio;Coimbra;Coimbra;Privada;Média: 13.85;Mais de 12;40.2002892;-8.4226191
31. Colégio Marista de Carcavelos;Lisboa;Cascais;Privada;Média: 13.8;Mais de 12;38.6923294;-9.3476503
32. Escola Básica e Secundária Dr. Ferreira da Silva;Aveiro;Oliveira de Azeméis;Pública;Média: 13.64;Mais de 12;40.8714616;-8.5122537
33. Escola Secundária Tomaz Pelayo;Porto;Santo Tirso;Pública;Média: 13.47;Mais de 12;41.3470855;-8.4807810
34. Colégio do Minho;Viana do Castelo;Viana do Castelo;Privada;Média: 13.45;Mais de 12;41.6930263;-8.8373701
35. Colégio da Trofa;Porto;Trofa;Privada;Média: 13.26;Mais de 12;41.3343769;-8.5574433
36. Externato Marista de Lisboa;Lisboa;Lisboa;Privada;Média: 13.23;Mais de 12;38.7474060;-9.1836440
37. Externato Frei Luís de Sousa;Setúbal;Almada;Privada;Média: 13.1;Mais de 12;38.6799937;-9.1575829
38. Escola Básica e Secundária D. Filipa de Lencastre;Lisboa;Lisboa;Pública;Média: 12.99;Mais de 12;38.7397284;-9.1426947
39. Colégio Santo André;Lisboa;Mafra;Privada;Média: 12.99;Mais de 12;38.9290444;-9.2338710
40. Colégio Militar;Lisboa;Lisboa;Pública;Média: 12.97;Mais de 12;38.7600074;-9.1862844
41. Escola Secundária Eça de Queirós;Porto;Póvoa de Varzim;Pública;Média: 12.96;Mais de 12;41.3845254;-8.7632918
42. Colégio CEBES;Porto;Porto;Privada;Média: 12.9;Mais de 12;41.1556542;-8.6734620
43. Colégio de Lamas;Aveiro;Santa Maria da Feira;Privada;Média: 12.86;Mais de 12;40.9769164;-8.5741185
44. Escola Secundária Infanta D. Maria;Coimbra;Coimbra;Pública;Média: 12.79;Mais de 12;40.2063830;-8.4101915
45. Escola Básica e Secundária de S. Bento;Braga;Vizela ;Pública;Média: 12.75;Mais de 12;41.3890156;-8.3158219
46. Escola Secundária Alves Martins;Viseu;Viseu;Pública;Média: 12.75;Mais de 12;40.6541632;-7.9193058
47. Escola Básica e Secundária Dr. Serafim Leite;Aveiro;São João da Madeira;Pública;Média: 12.73;Mais de 12;40.8920211;-8.4991426
48. Escola Secundária Garcia de Orta;Porto;Porto;Pública;Média: 12.7;Mais de 12;41.1626745;-8.6717440
49. Escola Básica e Secundária da Batalha;Leiria;Batalha;Pública;Média: 12.69;Mais de 12;39.6611887;-8.8205394
50. Colégio de Amorim;Porto;Póvoa de Varzim;Privada;Média: 12.66;Mais de 12;41.4018086;-8.7430968
51. Escola Secundária Raul Proença;Leiria;Caldas da Rainha;Pública;Média: 12.65;Mais de 12;39.4106313;-9.1481134
52. Escola Secundária Domingos Sequeira;Leiria;Leiria;Pública;Média: 12.61;Mais de 12;39.7460725;-8.8147245
53. Escola Secundária da Lixa;Porto;Felgueiras;Pública;Média: 12.57;Mais de 12;41.3294038;-8.1515000
54. Externato Camões;Porto;Gondomar;Privada;Média: 12.52;Mais de 12;41.1828974;-8.5617262
55. Escola Secundária Francisco Franco;Madeira;Funchal;Pública;Média: 12.5;Mais de 12;32.6520562;-16.9075117
56. Centro de Estudos de Fátima;Santarém;Ourém;Privada;Média: 12.49;Mais de 12;39.6382915;-8.6661234
57. Escola Secundária de Barcelinhos;Braga;Barcelos;Pública;Média: 12.49;Mais de 12;41.5212608;-8.6214673
58. Escola Secundária de Monção;Viana do Castelo;Monção ;Pública;Média: 12.48;Mais de 12;42.0713044;-8.4889907
59. Escola Secundária Padre Benjamim Salgado;Braga;Vila Nova de Famalicão;Pública;Média: 12.47;Mais de 12;38.7542582;-9.2298545
60. Escola Secundária João Silva Correia;Aveiro;São João da Madeira;Pública;Média: 12.41;Mais de 12;40.9132741;-8.4912427
61. Escola Secundária João Gonçalves Zarco;Porto;Matosinhos;Pública;Média: 12.41;Mais de 12;41.1788874;-8.6791489
62. Escola Básica e Secundária Clara de Resende;Porto;Porto;Pública;Média: 12.4;Mais de 12;41.1627192;-8.6461785
63. Escola Secundária Carlos Amarante;Braga;Braga;Pública;Média: 12.37;Mais de 12;41.5509961;-8.4164839
64. Escola Secundária Quinta das Palmeiras;Castelo Branco;Covilhã;Pública;Média: 12.36;Mais de 12;40.2727737;-7.5040689
65. Escola Secundária Manuel da Fonseca;Setúbal;Santiago do Cacém;Pública;Média: 12.34;Mais de 12;38.0228138;-8.6961794
66. Instituto de Ciências Educativas;Lisboa;Odivelas;Privada;Média: 12.34;Mais de 12;38.8075423;-9.1943352
67. Colégio Internato dos Carvalhos;Porto;Vila Nova de Gaia;Privada;Média: 12.32;Mais de 12;41.0669269;-8.5765765
68. Escola Secundária Dr. Joaquim Gomes Ferreira Alves;Porto;Vila Nova de Gaia;Pública;Média: 12.31;Mais de 12;41.0979882;-8.6248792
69. Escola Básica e Secundária da Sé;Guarda;Guarda;Pública;Média: 12.29;Mais de 12;41.0920785;-7.8080593
70. Escola Básica e Secundária Fernão de Magalhães;Vila Real;Chaves;Pública;Média: 12.26;Mais de 12;39.2697952;-9.1666174
71. Colégio do Amor de Deus;Lisboa;Cascais;Privada;Média: 12.25;Mais de 12;38.7139516;-9.4214096
72. Colégio João de Barros;Leiria;Pombal;Privada;Média: 12.24;Mais de 12;39.8406368;-8.7098941
73. Escola Secundária da Trofa;Porto;Trofa;Pública;Média: 12.22;Mais de 12;41.3345509;-8.5666185
74. Escola Básica e Secundária de Arcozelo;Viana do Castelo;Ponte de Lima;Pública;Média: 12.21;Mais de 12;41.7884867;-8.5860633
75. Escola Secundária de Paredes;Porto;Paredes;Pública;Média: 12.21;Mais de 12;41.2023656;-8.3365822
76. Escola Secundária João de Deus;Faro;Faro;Pública;Média: 12.19;Mais de 12;37.0189675;-7.9241466
77. Escola Secundária Dr. Joaquim de Carvalho;Coimbra;Figueira da Foz;Pública;Média: 12.18;Mais de 12;40.1613454;-8.8627240
78. Escola Básica e Secundária Quinta das Flores;Coimbra;Coimbra;Pública;Média: 12.16;Mais de 12;40.1925320;-8.4110837
79. Escola Secundária Dr. Mário Sacramento;Aveiro;Aveiro;Pública;Média: 12.15;Mais de 12;38.6290067;-9.1234933
80. Escola Secundária de Ponte de Lima;Viana do Castelo;Ponte de Lima;Pública;Média: 12.12;Mais de 12;41.7550139;-8.6043990
81. Escola Secundária de Penafiel;Porto;Penafiel;Pública;Média: 12.11;Mais de 12;41.2090492;-8.2761946
82. Escola Básica e Secundária de Búzio;Aveiro;Vale de Cambra;Pública;Média: 12.11;Mais de 12;40.8489936;-8.3883529
83. Externato João Alberto Faria;Lisboa;Arruda dos Vinhos;Privada;Média: 12.11;Mais de 12;38.9809281;-9.0867236
84. Escola Básica e Secundária Pintor José de Brito;Viana do Castelo;Viana do Castelo;Pública;Média: 12.1;Mais de 12;41.7078603;-8.7715776
85. Escola Secundária Aurélia de Sousa;Porto;Porto;Pública;Média: 12.07;Mais de 12;41.1600058;-8.6021951
86. Escola Secundária du Bocage;Setúbal;Setúbal;Pública;Média: 12.03;Mais de 12;38.5335555;-8.8948753
